categoryid	displaylabel
1	Estimated Active Channel
2	Highly Likely Active Floodplain
3	Likely Active Floodplain
9	Likely Terrace (non-valley bottom)
6	Plausible Valley Bottom Extent
4	Possible Active Floodplain
5	Possible Inactive Floodplain
10	Upland (non-valley bottom)
8	Very Unlikely Valley Bottom Extent
